Wed Dec 11 17:22:41 2024    profiling_results

         15688296 function calls (15687953 primitive calls) in 167.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 core.py:3127(view)
        1    0.000    0.000    0.000    0.000 {built-in method setFocus}
        1    0.000    0.000    0.000    0.000 backend_qt.py:596(show)
        1    0.000    0.000    0.000    0.000 _base.py:1181(_gen_axes_patch)
    29/15    0.000    0.000    0.000    0.000 _base.py:989(get_yaxis_transform)
       19    0.000    0.000    0.000    0.000 pathlib.py:1157(__init__)
        5    0.000    0.000    0.000    0.000 core.py:2808(__new__)
       61    0.000    0.000    0.000    0.000 lines.py:75(_scale_dashes)
        3    0.000    0.000    0.000    0.000 axis.py:434(_get_text1_transform)
       11    0.000    0.000    0.000    0.000 fromnumeric.py:71(_wrapreduction)
       19    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
        1    0.000    0.000    0.000    0.000 figure.py:186(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:1069(_update_transScale)
       19    0.000    0.000    0.000    0.000 lines.py:1221(set_markerfacecolor)
        2    0.000    0.000    0.000    0.000 cm.py:398(__init__)
        4    0.000    0.000    0.000    0.000 offsetbox.py:421(__init__)
        3    0.000    0.000    0.000    0.000 _base.py:937(get_xaxis_text1_transform)
        8    0.000    0.000    0.000    0.000 ipkernel.py:770(_clean_thread_parent_frames)
       16    0.000    0.000    0.000    0.000 transforms.py:1998(rotate_deg)
       17    0.000    0.000    0.000    0.000 base_events.py:783(call_soon)
       85    0.000    0.000    0.000    0.000 __init__.py:1310(_val_or_rc)
    28/24    0.000    0.000    0.000    0.000 spines.py:202(_ensure_position_is_set)
        2    0.000    0.000    0.000    0.000 backend_qt.py:353(sizeHint)
       20    0.000    0.000    0.000    0.000 artist.py:1112(set_zorder)
       48    0.000    0.000    0.000    0.000 text.py:997(set_horizontalalignment)
       28    0.000    0.000    0.000    0.000 cbook.py:1337(_to_unmasked_float_array)
